Family,Genus ,Species,Common Name,Mean Mass (g),Max published length (cm),Calculated mass (g),,% BM,Alternate species used,a value,b value,Link,,,Aspect ratio of the caudal fin,congener,a,b,Calculated mass
Siganidae,Siganus,rivulatus,Rabbitfish,2.84,27,263.87,,1.08,,,,,,,cresent,,,,
Cyprinidae,Carassius,auratus auratus,Goldfish,2.87,48,2000,,0.14,,,,,,,cresent,,,,
Cyprinidae,Carassius,auratus auratus,Goldfish,2.87,48,2000,,0.14,,,,,,,cresent,,,,
Cyprinidae,Carassius,auratus auratus,Goldfish,2.87,48,2000,,0.14,,,,,,,cresent,,,,
Cyprinidae,Carassius,auratus auratus,Goldfish,2.87,48,2000,,0.14,,,,,,,cresent,,,,
Cyprinidae,Carassius,auratus auratus,Goldfish,2.87,48,2000,,0.14,,,,,,,cresent,,,,
Characidae,Paracheirodon,axelrodi,cardinal tetra,0.2,2.5,0.07,0.200253583,285.71,Boehlkea fredcochui ,0.01202,3.07,https://www.fishbase.se/popdyn/LWRelationshipList.php?ID=12341&GenusName=Boehlkea&SpeciesName=fredcochui&fc=102,,,cresent,,,,
Characidae,Paracheirodon,simulans,green neon tetra,0.06,2,0.07,0.100940756,85.71,Boehlkea fredcochui ,0.01202,3.07,,,,cresent,,,,
Sciaenidae,Sciaenops,ocellatus,estuarine red drum,35.7,155,42900,,0.08,,,,,,,round,,,,
Sciaenidae,Sciaenops,ocellatus,estuarine red drum,40,155,42900,,0.09,,,,,,,round,,,,
Cyclopteridae,Cyclopterus,lumpus,marine lumpfish,23,61,11200,,0.21,,,,,,,round,,,,
Cyclopteridae,Cyclopterus,lumpus,marine lumpfish,22.5,61,11200,,0.20,,,,,,,round,,,,
Cyprinidae,Cyprinus,carpio,Common Carp,134,120,20600,,0.65,,,,,,,cresent,,,,
Fundulidae,Fundulus,heteroclitus heteroclitus,Southern killifish,NA,15,59.33,,,,,,,,,round,,,,
Fundulidae,Fundulus,heteroclitus macrolepidotus,Northern killifish,NA,15,59.33,,,,,,,,,round,,,,
Latidae,Lates,calcarifer,Asian sea-bass,300,200,102900,,0.29,,,,,,,round,,,,
Latidae,Lates,calcarifer,Asian sea-bass,300,200,102900,,0.29,,,,,,,round,,,,
Latidae,Lates,calcarifer,Asian sea-bass,300,200,102900,,0.29,,,,,,,round,,,,
Latidae,Lates,calcarifer,Asian sea-bass,300,200,102900,,0.29,,,,,,,round,,,,
Latidae,Lates,calcarifer,Asian sea-bass,300,200,102900,,0.29,,,,,,,round,,,,
Latidae,Lates,calcarifer,Asian sea-bass,300,200,102900,,0.29,,,,,,,round,,,,
sparidae,Pagrus,auratus,New Zealand snapper,70,130,20500,,0.34,,,,,,,cresent,,,,
Cottidae,Clinocottus,analis,Woolly sculpins,NA,18,141.02,,,,,,,,,round,,,,
Cottidae,Clinocottus,analis,Woolly sculpins,NA,18,141.02,,,,,,,,,round,,,,
Embiotocidae,Cymatogaster,aggregata,shiner perch,16.22,20.3,137.53,,11.79,Amphistichus rhodoterus ,,,,,,cresent,,,,
Embiotocidae,Cymatogaster,aggregata,shiner perch,17.4,20.3,137.53,,12.65,Amphistichus rhodoterus ,,,,,,cresent,,,,
Curimatidae,Cyphocharax,abramoides,,71.5,20.3,137.53,,51.99,Amphistichus rhodoterus ,,,,,,cresent,,,,
Cottidae,Cottus,gobio,European bullhead,7.16,18,92.68,,7.73,,,,,,,round,,,,
Serrasalmidae,Colossoma,macropomum,Amazonian tambaqui,198.3,108,32600,,0.61,,,,,,,cresent,,,,
Sciaenidae,Micropogonias,undulatus,Atlantic croaker,25.6,55,5000,,0.51,,,,,,,round,,,,
Balistidae,Odonus,niger,redtoothed lagoon triggerfish,19.3,50,3900,,0.49,,,,,,,cresent,,,,
Balistidae,Odonus,niger,redtoothed lagoon triggerfish,19.3,50,3900,,0.49,,,,,,,cresent,,,,
Balistidae,Rhinecanthus,aculeatus,lagoon triggerfish,10.6,30,679.09,,1.56,,,,,,,round,,,,
Balistidae,Rhinecanthus,aculeatus,lagoon triggerfish,10.6,30,679.09,,1.56,,,,,,,round,,,,
Balistidae,Rhinecanthus,rectangulus,wedge-tail triggerfish,119.7,30,626.54,,19.10,,,,,,,round,,,,
Balistidae,Rhinecanthus,rectangulus,wedge-tail triggerfish,119.7,30,626.54,,19.10,,,,,,,round,,,,
Balistidae,Sufflamen,bursa,lei triggerfish,7.2,25,337.81,,2.13,,,,,,,round,,,,
Balistidae,Sufflamen,bursa,lei triggerfish,7.2,25,337.81,,2.13,,,,,,,round,,,,
Balistidae,Xanthichthys,auromarginatus,gilded triggerfish,123,30,562.06,,21.88,Abalistes stellaris ,,,,,,cresent,Melichthys niger,0.0439,2.8,600.3493344
Balistidae,Xanthichthys,auromarginatus,gilded triggerfish,123,30,562.06,,21.88,Abalistes stellaris ,,,,,,cresent,,,,
Labridae,Thalassoma,duperrey,saddle wrasse,21,28,235.84,,8.90,,,,,,,cresent,,,,
Labridae,Thalassoma,duperrey,saddle wrasse,21,28,235.84,,8.90,,,,,,,cresent,,,,
Kuhliidae,Kuhlia,xenura,Hawaiian flagtail,13.4,22.2,393.84,,3.40,,,,,,,cresent,,,,
Kuhliidae,Kuhlia,xenura,Hawaiian flagtail,13.4,22.2,393.84,,3.40,,,,,,,cresent,,,,
Carangidae,Caranx,sexfasciatus,bigeye trevally,56.4,120,21600,,0.26,,,,,,,cresent,,,,
Carangidae,Caranx,sexfasciatus,bigeye trevally,56.4,120,21600,,0.26,,,,,,,cresent,,,,
Salmonidae,Oncorhynchus,mykiss,rainbow trout,73,122,17900,,0.41,,,,,,,cresent,,,,
Salmonidae,Oncorhynchus,mykiss,rainbow trout,69,122,17900,,0.39,,,,,,,cresent,,,,
Salmonidae,Oncorhynchus,mykiss,rainbow trout,66,122,17900,,0.37,,,,,,,cresent,,,,
Gasterosteidae,Gasterosteus,aculeatus,three-spined stickleback,1.58,11,15.72,,10.05,,,,,,,round,,,,
Gasterosteidae,Gasterosteus,aculeatus,three-spined stickleback,1.58,11,15.72,,10.05,,,,,,,round,,,,
Percichthyidae,Maccullochella,peelii,Murray cod,2.2,180,70900,,0.00,,,,,,,round,,,,
Percichthyidae,Maccullochella,peelii,Murray cod,1.6,180,70900,,0.00,,,,,,,round,,,,
Percichthyidae,Maccullochella,peelii,Murray cod,1.6,180,70900,,0.00,,,,,,,round,,,,
Percichthyidae,Maccullochella,peelii,Murray cod,2.1,180,70900,,0.00,,,,,,,round,,,,
Sciaenidae,Sciaenops,ocellatus,Red drum,21,155,42900,,0.05,,,,,,,round,,,,
Sciaenidae,Sciaenops,ocellatus,Red drum,26,155,42900,,0.06,,,,,,,round,,,,
Cichlidae,Mayaheros,urophthalmus,Mayan cichlid,55.4,39.4,2100,,2.64,,,,,,,round,,,,
Cichlidae,Mayaheros,urophthalmus,Mayan cichlid,55.4,39.4,2100,,2.64,,,,,,,round,,,,
Cichlidae,Mayaheros,urophthalmus,Mayan cichlid,55.4,39.4,2100,,2.64,,,,,,,round,,,,
Fundulidae,Fundulus,heteroclitus macrolepidotus,Northern killifish,3.83,15,59.33,,6.46,,,,,,,round,,,,
Fundulidae,Fundulus,heteroclitus macrolepidotus,Northern killifish,3.83,15,59.33,,6.46,,,,,,,round,,,,
Fundulidae,Fundulus,heteroclitus macrolepidotus,Northern killifish,3.83,15,59.33,,6.46,,,,,,,round,,,,
Fundulidae,Fundulus,grandis,Gulf killifish,10.8,18,109.07,,9.90,Fundulus heteroclitus ,,,,,,round,,,,
Fundulidae,Fundulus,grandis,Gulf killifish,10.8,18,109.07,,9.90,Fundulus heteroclitus ,,,,,,round,,,,
Fundulidae,Fundulus,grandis,Gulf killifish,10.8,18,109.07,,9.90,Fundulus heteroclitus ,,,,,,round,,,,
Fundulidae,Fundulus,grandis,Gulf killifish,10.8,18,109.07,,9.90,Fundulus heteroclitus ,,,,,,round,,,,
Tripterygiidae,Bellapiscis,medius,the twister,3.22,7.5,2.62,,122.90,Bellapiscis lesleyae ,,,,,,round,,,,
Tripterygiidae,Forsterygion ,lapillum,common triplefin,1.72,6.7,1.88,,91.49,,,,,,,round,,,,
Tripterygiidae,Forsterygion,varium,striped triplefin,6.6,13,37.9,,17.41,,,,,,,round,,,,
Tripterygiidae,Forsterygion,malcolmi,Mottled triplefin,4.95,12.2,13.27,,37.30,,,,,,,round,,,,
Cyprinidae,Danio,rerio,Zebrafish,NA,3.8,1.92,,,,,,,,,round,,,,
Cyprinidae,Danio,rerio,Zebrafish,NA,3.8,1.92,,,,,,,,,round,,,,
Cyprinidae,Danio,rerio,Zebrafish,NA,3.8,1.92,,,,,,,,,round,,,,
Cyprinidae,Danio,rerio,Zebrafish,NA,3.8,1.92,,,,,,,,,round,,,,
Sebastidae,Sebastes,caurinus,copper rockfish,4.57,58,3400,,0.13,,,,,,,round,,,,
Sebastidae,Sebastes,caurinus,copper rockfish,4.13,58,3400,,0.12,,,,,,,round,,,,
